,Date,Unix,Ticker,DE Ratio,Price,stock_p_change,SP500,sp500_p_change,Difference,Status
0,2007-07-11 05:59:28,1184104768.0,ctas,0.43,40.02,,1518.76001,0.0,0.0,underperform
1,2006-02-28 20:38:59,1141130339.0,ctas,0.216,41.15,,1280.660034,-15.677261346906283,18.500849552803324,outperform
2,2005-04-20 15:38:44,1113982724.0,ctas,0.227,39.25,,1137.5,-25.1033742980894,23.179336317079898,outperform
3,2005-02-22 13:02:43,1109048563.0,ctas,0.231,43.99,,1184.160034,-22.031128933925512,31.951168913935504,outperform
4,2013-04-26 17:42:40,1366969360.0,ctas,61.46,44.65,,1582.23999,4.179724221208595,7.389491171095241,outperform
5,2006-10-23 13:27:49,1161581269.0,ctas,0.418,41.3,,1377.02002,-9.332612727931917,12.531013527532101,outperform
6,2004-10-26 07:45:57,1098747957.0,ctas,0.247,41.57,,1111.089966,-26.842295116790705,30.715358585056563,outperform
7,2005-09-06 22:33:10,1126017190.0,ctas,0.225,40.75,,1233.390015,-18.789670067754816,20.613758023776796,outperform
8,2006-09-05 15:34:29,1157441669.0,ctas,0.383,38.0,,1313.25,-13.53143410722277,8.483957845353697,outperform
9,2006-02-19 17:57:09,1140343029.0,vz,0.983,34.78,,1289.380005,0.0,0.0,underperform
10,2008-11-02 21:33:44,1225632824.0,vz,0.879,29.67,,954.090027,-26.003969093657535,11.311617167263057,outperform
11,2012-10-24 21:51:21,1351086681.0,vz,57.0,44.23,,1408.75,9.257937499969222,17.912850309116443,outperform
12,2007-05-29 16:49:14,1180428554.0,vz,0.711,42.89,,1518.109985,17.739532109465284,5.578466740448455,outperform
13,2011-09-02 15:03:39,1314947019.0,vz,59.51,35.73,,1173.969971,-8.950816171528889,11.68227103064331,outperform
14,2012-04-22 04:43:53,1335041033.0,vz,64.2,38.73,,1376.920044,6.789312589037705,4.56778919359598,outperform
15,2012-01-01 14:15:14,1325398514.0,vz,62.75,40.12,,1263.02002,-2.0443922581225427,17.39804378198682,outperform
16,2012-06-20 20:46:19,1340196379.0,vz,58.35,43.3,,1355.689941,5.14277681853769,19.354060444257005,outperform
17,2005-02-25 16:05:48,1109318748.0,vz,1.045,35.96,,1211.369995,-6.050195419309295,9.442949875893538,outperform
18,2005-01-17 01:53:02,1105897982.0,vz,1.152,36.84,,1184.52002,-8.132589662734848,14.055533883551416,outperform
19,2007-04-29 10:38:55,1177814335.0,vz,0.749,37.89,,1494.25,15.889031488432304,-6.947110844384003,underperform
20,2004-06-28 23:14:22,1088435662.0,vz,1.327,35.96,,1133.349976,-12.101167103176849,15.493921559761091,outperform
21,2011-11-19 05:42:29,1321652549.0,vz,62.75,36.46,,1236.910034,-4.069395430092775,8.89975770726356,outperform
22,2003-10-03 01:05:53,1065114353.0,vz,1.43,33.28,,1029.849976,-20.128280878684794,15.815457416925163,outperform
23,2004-04-14 16:43:18,1081932198.0,vz,1.356,37.2,,1128.170044,-12.502905301373898,19.460927153012776,outperform
24,2003-12-08 15:05:01,1070867101.0,vz,1.294,33.32,,1069.300049,-17.068665183775675,12.870850347662964,outperform
25,2007-10-24 16:35:58,1193214958.0,vz,0.653,43.77,,1515.880005,17.566582320314485,8.281606293831583,outperform
26,2008-12-20 19:10:18,1229771418.0,vz,0.879,33.19,,904.419983,-29.856211551845803,25.284618682380582,outperform
27,2007-03-11 21:08:19,1173618499.0,vz,0.749,36.45,,1401.890015,8.725900011145276,-3.9242898903862145,underperform
28,2004-12-09 07:57:30,1102550250.0,vz,1.152,41.35,,1189.23999,-7.7665245786093875,26.656691341116577,outperform
29,2007-06-29 14:18:11,1183097891.0,vz,0.711,41.11,,1503.349976,16.5947951860786,1.6053198225470418,outperform
30,2007-05-02 00:44:15,1178037855.0,vz,0.749,38.51,,1495.920044,16.018554514500945,-5.294000172925335,underperform
31,2006-06-17 09:12:49,1150506769.0,vz,0.962,32.54,,1230.040039,-4.602209261031623,-1.8382737751961002,underperform
32,2007-07-03 16:01:29,1183449689.0,vz,0.711,41.84,,1524.869995,18.26381587172201,2.0352065549599985,outperform
33,2013-09-06 01:19:11,1378401551.0,vz,57.08,46.64,,1655.170044,28.36945179710616,5.730605707206664,outperform
34,2013-02-06 09:42:13,1360114933.0,vz,60.78,44.56,,1512.119995,17.274968522565235,10.844640448107569,outperform
35,2013-04-25 05:46:09,1366839969.0,vz,60.38,51.8,,1585.160034,22.939709616483466,25.99646059628248,outperform
36,2005-05-27 22:34:02,1117204442.0,vz,1.032,35.46,,1198.780029,-7.0266310667660745,8.981777702763774,outperform
37,2011-04-25 20:49:06,1303735746.0,vz,60.74,36.99,,1335.25,3.557523369536044,2.796703197456482,outperform
38,2006-04-27 11:39:37,1146109177.0,vz,0.983,33.08,,1309.719971,1.5774997224344272,-6.465366312428685,underperform
39,2012-03-24 04:02:39,1332532959.0,vz,64.2,39.42,,1402.890015,8.803456665981102,4.537543909062029,outperform
40,2008-01-23 16:07:51,1201075671.0,vz,0.633,36.6,,1338.599976,3.8173363018763418,1.4155561650586792,outperform
41,2005-04-03 21:33:08,1112535188.0,vz,1.045,35.19,,1180.589966,-8.437391504298997,9.616229917179954,outperform
42,2005-04-27 12:08:14,1114574894.0,gme,0.067,24.58,,1156.380005,0.0,0.0,underperform
43,2007-03-12 20:00:18,1173700818.0,gme,0.721,54.71,,1406.599976,21.638213210025192,100.94111958086171,outperform
